"GOLF D'AIX LES BAINS","Avenue du Golf<br>AIX LES BAINS<br>73100",45.670148,5.908636
BRAD'GOLF,"140 impasse Jacquard<br>GENAY<br>69730",45.890051,4.815010
"PRACTICE DE VILLIERS","Rue Jean Jaur&eacute;s RN 303<br>VILLIERS SUR MARNE<br>94350",48.827305,2.526539
"GOLF DU REVEILLON","Ferme des Hyverneaux<br>LESIGNY<br>77150",48.728541,2.610337
"Family Golf","92 Route de Paris<br>Appoigny<br>89380",47.887744,3.524487
"GOLF DISTRIBUTION","400 All&eacute;e des Terriers<br>ANTIBES<br>06600",43.595995,7.087853
"EUROGOLF FREJUS","ZA Lou Gabian<br>FREJUS<br>83600",43.438766,6.722058
"ACADEMIE AUTIERO","Route d&#39;Antibes<br>BIOT<br>06410",43.622299,7.099729
"Golf Store","Golf de Fontcaude<br>Route de Lodeve<br>JUVIGNAC<br>34990",43.627228,3.802281
"LA ROUTE DU GOLF NANTES","5 rue de la Garenne<br>ORVAULT<br>44700",47.259356,-1.644712
"GOLF PASSION CAEN","Zac du Clos Barbey<br>SAINT CONTEST<br>14280",49.2006439,-0.3988672
"GOLF LINKS","37 Avenue Du Limousin<br>CLERMONT FERRAND<br>63000",45.788018,3.064196
"GOLF DE VALESCURE","Avenue du Golf<br>SAINT RAPHAEL<br>83700",43.451708,6.807961
"GOLF STATION","10 Boulevard Albert 1er<br>SAINT ETIENNE<br>42000",45.449865,4.382917
"GOLF DE SAINT-ETIENNE","62 rue St Simon<br>SAINT-ETIENNE<br>42000",45.451589,4.364826
"Golf One 64","19 all&eacute;e de Moura<br>Biarritz<br>64200",43.459831,-1.544818
"Loren's Shop","16 avenue Georges Alquier<br>Les Salvages<br>Castres<br>81100",43.632659,2.26575
"LA BOUTIQUE DU PRO","Rue Lucien Faure<br>Hangar 29<br>Bordeaux<br>33300",44.865299,-0.559959
"GOLF PASSION ROUEN","All&eacute;e Raymond Aron<br>MONT SAINT AIGNAN<br>76130",49.475087,1.092844
"Centre de Fitting National Mizuno France","Golf National<br>2 av du Golf<br>GUYANCOURT<br>78280",48.755817,2.080643
"Golf Signature","Chemin des Verdoux<br>Villard de Lans<br>38250",45.073324,5.537667
"Intersport Limoges","17 Place de la R&eacute;publique<br>Limoges<br>87000",45.832084,1.259922
"COTE GOLF","Avenue de l&#039;Universit&eacute;<br>LA VALETTE DU VAR<br>83160",43.137497,6.008557
"GOLF CLUB DU MANS","Route de Tours<br>MULSANNE<br>72230",47.907026,0.248869
"GOLF DES ABERS",Kerhoaden<br>PLOUARZEL<br>29810,48.445481,-4.717448
"GOLF DE BUSSY SAINT GEORGES","Promenade Des Golfeurs<br>BUSSY SAINT GEORGES<br>77600",48.846331,2.70925
GOLFLAND,"6 Rue Jacques Anquetil<br>CORBEIL ESSONNES<br>91100",48.613532,2.453364
"LA ROUTE DU GOLF RENNES","110 rue Eug&eacute;ne Pottier<br>RENNES<br>35000",48.103772,-1.709535
"GOLF ACTION","Zone Artisanale du Porzo<br>KERVIGNAC<br>56700",47.791829,-3.249913
"PROSHOP DU GOLF DE MARCILLY","Route de St Cyr en Val<br>MARCILLY EN VILLETTE<br>45240",47.782009,2.017515
"GOLF TRADITION TOURAINE","Rond Point De l&#039;Aviation N 10<br>PARCAY MESLAY<br>37210",47.439587,0.710606
"GOLF PLUS SAINT CLOUD","115 Rue De Buzenval<br>GARCHES<br>92380",48.851893,2.205127
"GOLF DU LEMAN","825 Route Des Plantets<br>VEIGY FONCENEX<br>74140",46.275259,6.248069
"GOLF LEADER AIX MARSEILLE","625 Rue Des Roseaux<br>BOUC BEL AIR<br>13320",43.430622,5.409525
"GOLF LEADER GRASSE","103 route de la Paoute<br>GRASSE<br>06130",43.63373,6.957489
"GOLF SHOP 78","153 rue de Morainvilliers<br>ORGEVAL<br>78630",48.923047,1.959745
"GOLF DE LA VALDAINE","Chateau Le Monnard<br>MONTBOUCHER SUR JABRON<br>26740",44.540886,4.799955
"GOLF DE LA SORELLE","Route Dombes<br>VILLETTE<br>01320",45.992038,5.267529
"GOLF SHOP 91","1<br>Route de Versailles<br>VILLIERS LE BACLE<br>91190",48.726032,2.125629
"LE GOLF NATIONAL","2 Avenue du Golf<br>GUYANCOURT<br>78280",48.755817,2.080643
"GOLF PLUS ORGEVAL","8 rue de Normandie<br>ORGEVAL<br>78630",48.93066,1.977514
"GOLF PLUS PONTAULT COMBAULT","96 Rue des Pres Saint Martin<br>PONTAULT COMBAULT<br>77340",48.782364,2.61593
"GOLF SHOP 92","33 bld de Jardy<br>MARNES LA COQUETTE<br>92430",48.832720,2.153288
"GOLF DE NANCY PULNOY","10 Rue du Golf<br>PULNOY<br>54425",48.702362,6.262049
"PROSHOP DU GOLF D'AMMERSCHWIHR","4 All&eacute;e du golf<br>AMMERSCHWIHR<br>68770",48.124701,7.284923
"GOLF PLUS LONGCHAMP","Hippodrome de Longchamp<br>Route des Tribunes<br>PARIS<br>75116",48.8619318,2.2333811
"GOLF REPAIR SHOP","8 Rue Claude Debussy<br>PARIS<br>75017",48.885173,2.289201
"BOULEVARD DU GOLF","129 Boulevard Exelmans<br>PARIS<br>75016",48.847369,2.259101
"GOLF SPIRIT"," 4 Rue des Blancs Foss&eacute;s<br>ZA des Blancs Foss&eacute;s<br>ORMES<br>51370",49.252344,3.977051
"Golf Plus Biarritz","ZAC de Parme<br>RN10 115 rue d&#039;Espagne<br>Anglet<br>64600",43.47371400,-1.533000
"GOLF DE ROUGEMONT LE CHATEAU","Route de Masebaux<br>ROUGEMONT LE CHATEAU<br>90110",47.74091,6.99057
"GOLF DE PRUNEVELLE","Ferme les petits bans<br>DAMPIERRE SUR LE DOUBS<br>25420",47.460366,6.737038
"PROSHOP DU GOLF DE REIMS","Chateau des Dames de France<br>GUEUX<br>51390",49.241678508688246,3.7557098283931043
"CARRE GOLF METZ","7 rue des Potiers d&#39;etain<br>METZ ACTIPOLE<br>57070",49.116394,6.243633
"Affaires de Golf","120 av de Font de Roubert<br>Mougins<br>06250",43.6048695,7.0003345
"LE GOLF SAINT GABRIEL",Castie<br>Montrabe<br>31850,43.65354,1.542238
"AUTHENTIQUE GOLF","776 avenue du Parc des Expositions<br>La Teste de Buch<br>33260",44.615139,-1.124226
"PRO SHOP DU GOLF DE CHIBERTA","104 Bv des Plages<br>Anglet<br>64600",43.512897,-1.526279
"PRO SHOP DU GOLF DE COGNAC","16100 Saint Brice<br>16100",45.701081,-0.311375
"GOLF 40","ZA de Laubian lot 18<br>Route de Tosse<br>Seignosse<br>40510",43.6900122,-1.3750976
"GOLF DE SAINT CYPRIEN","66750 Saint Cyprien<br>66750",42.6241166,3.0125674
"Golf Club d'Ajaccio",Benista<br>Porticcio<br>20166,41.8295314,8.8032042
"GOLF D'ARCANGUES","GOLF D&#039;ARCANGUES<br>BIARRITZ<br>64200",43.4362817,-1.5220407
"AU PETIT PRO SHOP","Route de St Ferreol<br>Bonencontre<br>47240",44.1859890,0.6708704
"GOLF CLUBMAKER","820 AVENUE DE BAYONNE<br>BIDART<br>64210",43.4384107,-1.5922216
"Golf Plus Toulouse","25 route de Toulouse<br>Seilh<br>31840",43.677298,1.36437
"CARRE GOLF / GOLF TRADITION","34 bis rue du Golf<br>Billiere<br>64140",43.298908,-0.391503
"Golf de la Ramée","Ferme du cousturier<br>Tournefeuille<br>31170",43.575591,1.363935
"Golf de Téoula","71 av des Landes<br>Plaisance du Touch<br>31830",43.554755,1.253581
"GOLF PLUS PEREIRE","212 BOULEVARD PEREIRE<br>PARIS<br>75017",48.8796400,2.2869976
"INESIS GOLF PARK","CHEMIN POIVRE<br>MARCQ EN BAROEUL<br>59700",50.688772,3.104244
"ESPRIT GOLF","34 Rue Paul Cesanne<br>Parc des Collines<br>MULHOUSE<br>68200",47.752089,7.303500
"CARRE GOLF COTE DE BEAUTE","4 BIS AV. PAUL EMILE VICTOR<br>ZA POLE DU VAL LUMIERE<br>VAUX SUR MER<br>17640",45.6255779,-1.0269139
"GOLF DES OLONNES","Route de la Pierre Lev&eacute;e<br>OLONNE SUR MER<br>85340",46.5368554,-1.7736650
"Golf Plus Bordeaux","6 Avenue Jean Mermoz<br>Le Haillan<br>33183",44.860067,-0.666475
"GOLF PLUS LILLE","Parc d&#039;activit&eacute; de la Pilateri<br>Rue des Champs<br>Wasquehal<br>59290",50.6692825,3.1293805
"GOLF ONE 40","97 AV DES REMOULEURS<br>SOORTS-HOSSEGOR<br>40150",43.6599047,-1.4277237
"SARL XP / COULEUR GOLF","1200 CHEMIN DE SAINT PIERRE<br>MONTAUBAN<br>82000",44.0175746,1.3589145
"DECATHLON MERIGNAC","DOMAINE DE PELUS<br>AVENU DE L&#039;ARGONNE<br>MERIGNAC<br>33700",44.8290889,-0.7027790
"DECATHLON BORDEAUX LAC","UE DES 40 JOURNAUX<br>BORDEAUX LAC<br>33300",44.8853383,-0.5766203
"GOLF A PAR","34 - 36 AVENUE DE COURNON<br>AUBIERE<br>63170",45.7506626,3.1114470
"GOLF PLUS LYON","51 COURS VITTON<br>LYON<br>69006",45.7698280,4.8561441
"GOLF DU VAUDREUIL","26 AV MARC DE LA HAYE<br>LE VAUDREUIL<br>27100",49.2588166,1.2101009
"GOLF BARRIERE DE SAINT JULIEN","GOLF DE SAINT JULIEN LA BRIQUETERIE<br>SAINT JULIEN SUR CALONNE<br>14130",49.2901425,0.2279072
"DECATHLON HERBLAY","12 MAIL DES COPISTES<br>HERBLAY<br>95222",48.9908304,2.1675220
"GOLF SHOP COTE D'OPALE","66 ROUTE NATIONALE<br>ISQUES<br>62360",50.6724564,1.6495287
"GOLF D'ARRAS","RUE BRIQUET TAILLANDIER<br>ANZIN ST AUBIN<br>62223",50.3135890,2.7500930
SWINGOLF,"2 AVENUE DE LOCARNO<br>FORUM DES BENEDICTINS<br>LIMOGES<br>87000",45.8333641,1.2689558
"GOLFPRO SHOP NAILLOUX","Nailloux Fashion Village<br>Village des Marques<br>Nailloux<br>31560",43.3273055,1.6469253000000208
"CARRE GOLF","RN 13<br>10/14 Avenue<br>G&eacute;n&eacute;ral Leclerc<br>Le Pecq<br>78230",48.887831,2.101257
"BOSQUET GOLF","47 AVENUE BOSQUET. PARIS<br>75007",48.8575318,2.3043750
"IDEES GOLF","12 Avenue de la Lib&eacute;ration<br>MONTBRISON<br>42600",45.60374,4.06949
"Decathlon MADELEINE","23 boulevard de la Madeleine Centre commercial<br>Les Trois Quartiers<br>Paris<br>75008",48.86998,2.325604
"GOLF DE ROSNY SOUS BOIS","NGF ILE DE FRANCE EST 12 Rue Raspail<br>ROSNY<br>SOUS BOIS<br>93110",48.876232,2.47304
"Golf de Valence Chanalets","Pro Shop<br>Les Chanalets<br>Bourg les Valences<br>26500",44.977519,4.90973
"US GOLF CANNES","1300 Avenue de Campon<br>Le Cannet<br>06110",43.573675,7.014771
"GOLF EXACTITUDE","110 Boulevard Henri Sellier<br>Suresnes<br>92150",48.864715,2.218745
